candidate_level,candidate_score,股票代號,股票名稱,市場,收盤價,MA20,是否站上 MA20,K 值,D 值,RSI,Volume_MA5,Volume_MA20,Volume_MA40,放量倍數,MACD_DIF,MACD_Signal,MACD_Histogram,MACD_Histogram_前1日,MACD_Histogram_前2日,MACD_綠柱趨緩接近翻紅,是否符合 KD 區間,是否符合 RSI 區間,是否明顯放量,MACD 是否綠柱趨緩接近翻紅,法人近 5 日是否合計買超,投信近 5 日是否買超,外資近 1 日買賣超張數,投信近 1 日買賣超張數,自營商近 1 日買賣超張數,三大法人近 1 日合計買賣超張數,外資近 5 日買賣超張數,投信近 5 日買賣超張數,自營商近 5 日買賣超張數,三大法人近 5 日合計買賣超張數,外資近 20 日買賣超張數,投信近 20 日買賣超張數,自營商近 20 日買賣超張數,三大法人近 20 日合計買賣超張數,最後更新日期
接近,30,4943,康控-KY,上市,7.289999961853027,7.8905000448226925,False,33.045970690071094,29.582747182048,40.0854895017645,58742.0,43532.2,31647.2,1.3493919443538347,-0.376600724906595,-0.30242477471250795,-0.07417595019408707,-0.10019585953673821,-0.12003659784083509,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,6512,啟發電,上櫃,20.350000381469727,20.437500286102296,False,43.05340219591827,49.8412499793163,50.255405375518365,6398.6,4844.9,4784.75,1.3206877334929514,0.06658158434207095,0.09020210201903808,-0.02362051767696713,-0.016819133582204576,-0.005959066606879143,否,是,否,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-11
接近,30,9906,欣巴巴,上市,39.20000076293945,40.14283714294434,False,25.26972257819467,44.441613435327014,43.91672502989749,66655.0,50996.75,60466.65,1.307044076338198,0.19886113698313324,0.2668176132482526,-0.06795647626511936,0.0646758826546247,0.21074750668382164,否,否,是,否,否,是,否,-8.509,0.0,0.0,-8.509,46.294,0.0,-1.0,45.294,291.03,0.0,-15.0,276.03,2026-09-11
接近,30,6918,愛派司,上市,72.9000015258789,75.8349998474121,False,25.401395468263324,40.04870137109258,40.39472225237244,49737.2,38085.5,35451.125,1.3059353297186593,0.6512337661668113,1.0342870565092648,-0.3830532903424535,-0.11979590781509875,0.110529216261531,否,否,是,否,否,否,否,1.0,0.0,0.0,1.0,-33.692,0.0,-1.0,-34.692,26.308,0.0,-1.0,25.308,2026-09-11
接近,30,2432,倚天酷碁-創,上市,27.200000762939453,27.555000019073486,False,46.580293812696674,50.626536741197675,41.71626746766077,25706.0,19776.5,30528.35,1.2998255505271408,-0.15635316719181702,-0.16568160258459236,0.009328435392775336,0.0342764790170888,0.04311164749276111,否,否,是,否,否,是,否,-2.0,0.0,-1.545,-3.545,11.534,0.0,-9.107,2.4269999999999996,-5.466000000000001,0.0,-17.114,-22.580000000000002,2026-09-11
接近,30,8201,無敵,上市,11.949999809265137,11.802499914169312,True,36.26763924897905,34.94190425093475,53.63882512447289,38132.4,29375.25,32778.35,1.29811320754717,-0.05484177487610964,-0.08721099577188587,0.032369220895776235,0.021319037741853702,-0.0017987726706524682,否,是,否,否,否,是,否,-6.0,0.0,0.0,-6.0,1.552,0.0,0.0,1.552,-1.625,0.0,2.0,0.375,2026-09-11
接近,30,1234,黑松,上市,33.29999923706055,33.364999771118164,False,54.05177369846634,53.105857112387696,45.53993355890994,104826.4,80803.15,113132.1,1.2973058599819438,-0.07460369179256787,-0.09097545787080544,0.016371766078237565,0.021436033550466083,0.02401499188372061,否,否,是,否,否,是,否,24.0,0.0,-0.396,23.604,187.367,0.0,-0.396,186.971,124.33499999999998,0.0,-8.915,115.42000000000002,2026-09-11
接近,30,1445,大宇,上市,10.300000190734863,10.322499990463257,False,54.362161069587344,44.953519869331245,45.60258309315867,90689.0,70160.05,74973.95,1.2926017013955948,-0.08609642058726408,-0.11353374251424975,0.02743732192698567,0.02898344056408969,0.03077730496786757,否,否,是,否,否,是,否,-10.0,0.0,-3.0,-13.0,25.164,0.0,-2.0,23.164,281.164,0.0,-1.0,280.164,2026-09-11
接近,30,1325,恆大,上市,25.549999237060547,26.002499866485596,False,50.256460665910346,47.27403402671155,45.02208449310462,213545.6,166039.8,459282.15,1.2861109203937853,-0.07710662228051746,-0.05698774496702462,-0.020118877313492836,0.007509443030322666,0.005898603399052099,否,否,是,否,否,是,否,9.101,0.0,0.0,9.101,328.8,0.0,0.0,328.8,703.77,0.0,4.0,707.77,2026-09-11
接近,30,8277,商丞,上櫃,18.67371940612793,18.65864486694336,True,53.6958924190197,54.82561290333264,48.295054625674325,76282.4,59381.1,58144.925,1.2846242322893984,-0.12631626446679078,-0.1775990529044426,0.05128278843765183,0.05209722879805387,0.05180876201370102,否,否,是,否,否,否,否,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-10
